VP,age,sex,exp,Studie,SPErt1,SPErt2,SPErt,SPEd,SPEd1,SPEd2,ime1,ine1,mme1,mne1,bme1,bne1,ime2,ine2,mme2,mne2,bme2,bne2,RTim1,RTin1,RTmm1,RTmn1,RTbm1,RTbn1,RTim2,RTin2,RTmm2,RTmn2,RTbm2,RTbn2,SPEreduction,RTin,RTbn,RTmn,ine,bne,mne
44,20,0,1,2,73.2023809523808,67.7565217391303,70.4794513457556,.523681951597049,.618063585644631,.429300317549468,2,1,3,5,5,1,1,1,5,5,0,1,653.083333333333,728.318181818182,682.047619047619,733.8125,770.52380952381,797.391304347826,654.04347826087,829.041666666667,708.85,871.789473684211,734.75,755.65,-5.44585921325051,778.679924242424,776.520652173913,802.800986842105,1,1,5
45,31,0,1,2,72.7858232537866,69.4590961098398,71.1224596818132,.138402513256664,-.216225831744941,.493030858258269,2,3,4,0,6,1,1,4,2,6,4,4,578.869565217391,748.75,670.047619047619,745.92,633.263157894737,697.916666666667,606.875,758.809523809524,693.826086956522,757.157894736842,658.842105263158,737.238095238095,-3.32672714394681,753.779761904762,717.577380952381,751.538947368421,3.5,2.5,3
46,23,0,1,2,-12.10101010101,-52.2590476190476,-32.1800288600288,-.185235374400965,.409886390573059,-.78035713937499,2,1,1,2,5,3,4,1,0,1,3,0,848.045454545455,964.208333333333,754.833333333333,961.952380952381,917.055555555556,947.571428571429,805.904761904762,935.739130434783,722.72,872.541666666667,784.571428571429,902.869565217391,-40.1580375180375,949.973731884058,925.22049689441,917.247023809524,1,1.5,1.5
47,21,1,1,2,-4.07386363636363,-1.73971014492753,-2.90678689064558,-.175319212442437,-.585713659528052,.235075234643178,3,3,2,5,0,1,1,1,1,2,1,2,621.75,737,637.227272727273,713.055555555556,598.125,660.666666666667,597.16,688.913043478261,639.173913043478,693.590909090909,551.666666666667,671.428571428571,2.3341534914361,712.95652173913,666.047619047619,703.323232323232,2,1.5,3.5
48,18,0,0,2,35.4897435897435,150.861111111111,93.1754273504273,-.186680924109678,-.242566752745759,-.130795095473597,12,8,8,9,7,9,12,9,9,9,10,10,640,723.6,619.846153846154,722.769230769231,731.133333333333,712.117647058824,473,742.454545454545,629.5,582.615384615385,618.222222222222,620.6,115.371367521368,733.027272727273,666.358823529412,652.692307692308,8.5,9.5,9
49,22,0,1,2,48.9411616161616,29.2220588235294,39.0816102198455,.631879621442765,.628366476256301,.635392766629229,2,1,5,1,7,2,1,4,4,5,8,2,543.272727272727,600.304347826087,572.65,602.583333333333,611.777777777778,619.318181818182,526.625,619.15,549.4,575.315789473684,562.294117647059,581.478260869565,-19.7191027926322,609.727173913044,600.398221343874,588.949561403509,2.5,2,3
50,20,0,0,2,138.249505928854,17.810606060606,78.0300559947299,.28354219668092,-.0239940975394055,.591078490901246,3,3,10,0,3,4,2,4,5,8,6,3,662.739130434783,735.727272727273,805.25,753.458333333333,796.727272727273,820.388888888889,711.272727272727,712.157894736842,746.666666666667,785.176470588235,711.5,723.1,-120.438899868248,723.942583732057,771.744444444445,769.317401960784,3.5,3.5,4
51,21,0,1,2,79.8821510297483,-58.8738095238095,10.5041707529694,-.318011710071726,-.115539926501559,-.520483493641894,1,4,4,1,6,0,5,2,3,0,4,2,523.565217391304,633.210526315789,571,675.04,635.894736842105,648.833333333333,695.45,755.05,619.952380952381,670.565217391304,653.2,678.909090909091,-138.755960553558,694.130263157895,663.871212121212,672.802608695652,3,1,.5
52,21,1,0,2,18.798418972332,80.7857142857143,49.7920666290232,-.336043159133431,.201709195501486,-.873795513768349,1,2,2,2,3,1,9,3,3,1,1,5,799.25,888.954545454545,861.869565217391,910.608695652174,774.227272727273,904.434782608696,763.333333333333,966.136363636364,863.904761904762,880.041666666667,824.333333333333,958.789473684211,61.9872953133823,927.545454545455,931.612128146453,895.32518115942,2.5,3,1.5
53,23,0,1,2,130.120522875817,87.6045454545455,108.862534165181,1.2838919474101,1.43078291740676,1.13700097741343,0,2,6,3,6,4,0,0,1,4,3,0,530.52,652.166666666667,678.058823529412,687,643.222222222222,667.421052631579,514,629.125,575.8,630,627.409090909091,610.125,-42.5159774212715,640.645833333333,638.773026315789,658.5,1,2,3.5
54,21,0,0,2,-63.9861111111111,9.88978857399911,-27.048161268556,-.234166415412454,-.0831507009605397,-.385182129864369,7,5,3,7,8,5,12,8,5,6,14,6,713.625,710.111111111111,634,692.944444444444,665.277777777778,704.578947368421,601.923076923077,649.222222222222,661.736842105263,734.055555555556,561.888888888889,679.421052631579,73.8758996851102,679.666666666667,692,713.5,6.5,5.5,6.5
55,26,0,1,2,32.2141131815045,-10.4617224880383,10.8761953467331,.463591624538928,.426738102651265,.500445146426592,2,3,5,4,3,4,2,4,7,5,5,3,525.190476190476,668.136363636364,527.722222222222,660.285714285714,587.086956521739,622.45,573.909090909091,598.157894736842,549.578947368421,616,577.315789473684,593.454545454545,-42.6758356695428,633.147129186603,607.952272727273,638.142857142857,3.5,3.5,4.5
56,18,0,0,2,23.6861471861471,-14.0461779448622,4.81998462064249,.364249197773019,.188948937583136,.539549457962902,4,5,4,7,7,4,3,3,2,9,4,8,567.909090909091,654.789473684211,602.190476190476,616.055555555556,581,607.85,596.947368421053,685.619047619048,570.952380952381,651.8,594.85,674,-37.7323251310093,670.204260651629,640.925,633.927777777778,4,6,8
57,18,0,1,2,9.91600790513837,-35.7424242424242,-12.9132081686429,-.69473508962668,-1.04190208838297,-.347568090870388,3,5,2,0,2,1,2,6,3,2,3,2,571.136363636364,646.421052631579,538.695652173913,636.5,623.409090909091,658.708333333333,609.909090909091,591.315789473684,577.904761904762,618.190476190476,570.428571428571,625.347826086957,-45.6584321475626,618.868421052632,642.028079710145,627.345238095238,5.5,1.5,1
58,22,1,0,2,11.9364648033127,35.4492753623189,23.6928700828158,-.117537617321589,-.0129459274063235,-.222129307236854,2,0,1,1,1,0,1,2,1,2,0,2,649.095238095238,733.761904761905,610.541666666667,765.571428571429,711.521739130435,730.458333333333,574.833333333333,684.347826086957,600.565217391304,695.217391304348,620,687.652173913043,23.5128105590062,709.054865424431,709.055253623188,730.394409937888,1,1,1.5
59,20,0,1,2,111.46626984127,64.6416666666667,88.0539682539683,.32594060686663,.386441477522972,.265439736210288,1,5,5,2,5,4,0,5,3,0,6,2,483.958333333333,643.894736842105,571.904761904762,622.04347826087,618.944444444444,616.285714285714,538.458333333333,688.421052631579,619.65,639.304347826087,586.55,679.857142857143,-46.8246031746032,666.157894736842,648.071428571429,630.673913043478,5,3,1
60,23,1,0,2,9.65990950226239,83.3695652173914,46.5147373598269,.114263111573583,-.208720793414015,.43724701656118,1,2,0,3,4,0,1,2,1,4,3,3,787.96,821.409090909091,832.769230769231,907.526315789474,762.470588235294,859.045454545455,649.086956521739,785.136363636364,736.652173913043,749.571428571429,728.260869565217,810,73.709655715129,803.272727272727,834.522727272727,828.548872180451,2,1.5,3.5
61,28,1,1,2,107.659090909091,129.33,118.494545454545,.151134949671538,.470613055702871,-.168343156359796,2,1,2,4,3,2,3,0,2,2,0,0,801.954545454545,918.666666666667,900.227272727273,926.5,919,860.521739130435,750,860.68,808.5,895.952380952381,950.16,965.24,21.670909090909,889.673333333333,912.880869565217,911.22619047619,.5,1,3
62,20,0,0,2,-32.7610125858123,-82.2808924485126,-57.5209525171625,.149246278622324,.336947217957139,-.0384546607124903,2,5,1,10,4,7,5,6,5,8,3,6,701.869565217391,783.809523809524,653.375,816.357142857143,684.842105263158,784.105263157895,796.052631578947,907,706.5,809.411764705882,721.04347826087,888.8125,-49.5198798627003,845.404761904762,836.458881578947,812.884453781513,5.5,6.5,9
