"Participant.Public.ID ""Trial.Number"" ""Reaction.Time"" ""Response"" ""Correct"" ""Incorrect"" ""Label"" ""Model"" ""P_Group"" ""P_Orginal"" ""ACC_Mat"""
"147 ""563fa227074be600115e9642"" 19 1018.89999997616 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.828125"
"148 ""563fa227074be600115e9642"" 20 2142.39999997616 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""JA"" 0.828125"
"149 ""563fa227074be600115e9642"" 21 2058.5 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.828125"
"150 ""563fa227074be600115e9642"" 22 947.800000071526 ""right"" 0 1 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.828125"
"151 ""563fa227074be600115e9642"" 23 1217.20000004768 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.828125"
"152 ""563fa227074be600115e9642"" 24 2230.29999995232 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.828125"
"153 ""563fa227074be600115e9642"" 25 1587.39999997616 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""NEIN"" 0.828125"
"154 ""563fa227074be600115e9642"" 26 2917.20000004768 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.828125"
"155 ""563fa227074be600115e9642"" 27 1599.20000004768 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""JA"" 0.828125"
"156 ""563fa227074be600115e9642"" 28 1311.5 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""JA"" 0.828125"
"157 ""563fa227074be600115e9642"" 29 3680 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""NEIN"" 0.828125"
"158 ""563fa227074be600115e9642"" 30 1749.39999997616 ""left"" 0 1 ""Stranger"" ""f15"" ""Other"" ""NEIN"" 0.828125"
"159 ""563fa227074be600115e9642"" 31 1281.39999997616 ""right"" 0 1 ""Me"" ""f15"" ""Other"" ""NEIN"" 0.828125"
"160 ""563fa227074be600115e9642"" 32 1867.20000004768 ""right"" 0 1 ""Me"" ""f15"" ""Other"" ""JA"" 0.828125"
"161 ""563fa227074be600115e9642"" 33 3321.5 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""NEIN"" 0.828125"
"162 ""563fa227074be600115e9642"" 34 2602.79999995232 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""JA"" 0.828125"
"163 ""563fa227074be600115e9642"" 35 2660.39999997616 ""right"" 0 1 ""Me"" ""f18"" ""Other"" ""JA"" 0.828125"
"164 ""563fa227074be600115e9642"" 36 7439.10000002384 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""NEIN"" 0.828125"
"165 ""563fa227074be600115e9642"" 37 2548.70000004768 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""NEIN"" 0.828125"
"166 ""563fa227074be600115e9642"" 38 2353.79999995232 ""left"" 0 1 ""Me"" ""f4"" ""User"" ""JA"" 0.828125"
"167 ""563fa227074be600115e9642"" 39 2769.69999992847 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""JA"" 0.828125"
"168 ""563fa227074be600115e9642"" 40 2039.89999997616 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""JA"" 0.828125"
"169 ""563fa227074be600115e9642"" 41 1152 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""JA"" 0.828125"
"170 ""563fa227074be600115e9642"" 42 1519.90000009537 ""right"" 0 1 ""Stranger"" ""f4"" ""User"" ""JA"" 0.828125"
"171 ""563fa227074be600115e9642"" 43 950.700000047684 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""NEIN"" 0.828125"
"172 ""563fa227074be600115e9642"" 44 1869.5 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""NEIN"" 0.828125"
"173 ""563fa227074be600115e9642"" 45 914.699999928474 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""NEIN"" 0.828125"
"174 ""563fa227074be600115e9642"" 46 1804.69999992847 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""NEIN"" 0.828125"
"175 ""563fa227074be600115e9642"" 47 864.800000071526 ""right"" 0 1 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.828125"
"176 ""563fa227074be600115e9642"" 48 2792.10000002384 ""left"" 0 1 ""Me"" ""f4"" ""User"" ""NEIN"" 0.828125"
"177 ""563fa227074be600115e9642"" 49 1363.39999997616 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""NEIN"" 0.828125"
"178 ""563fa227074be600115e9642"" 50 1214.60000002384 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.828125"
"179 ""563fa227074be600115e9642"" 51 842.300000071526 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""JA"" 0.828125"
"180 ""563fa227074be600115e9642"" 52 604.699999928474 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""JA"" 0.828125"
"181 ""563fa227074be600115e9642"" 53 1910.89999997616 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""JA"" 0.828125"
"182 ""563fa227074be600115e9642"" 54 664.699999928474 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""NEIN"" 0.828125"
"183 ""563fa227074be600115e9642"" 55 1666.59999990463 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.828125"
"184 ""563fa227074be600115e9642"" 56 2251.39999997616 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""JA"" 0.828125"
"185 ""563fa227074be600115e9642"" 57 2284.89999997616 ""left"" 0 1 ""Stranger"" ""f18"" ""Other"" ""JA"" 0.828125"
"186 ""563fa227074be600115e9642"" 58 1300.10000002384 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""NEIN"" 0.828125"
"187 ""563fa227074be600115e9642"" 59 1007.59999990463 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""JA"" 0.828125"
"188 ""563fa227074be600115e9642"" 60 2421.70000004768 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""NEIN"" 0.828125"
"189 ""563fa227074be600115e9642"" 61 1503.90000009537 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""NEIN"" 0.828125"
"190 ""563fa227074be600115e9642"" 62 1659.60000002384 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""JA"" 0.828125"
