Participant.Public.ID,Trial.Number,Reaction.Time,Response,Correct,Incorrect,Label,Model,P_Group,P_Orginal,ACC_Mat
5e0e40e0500f0658c9663bc0,55,1370.9,right,1,0,Me,f4,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,56,1157.2,right,1,0,Stranger,f15,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,57,1545.1,right,1,0,Stranger,m35,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,58,1114,right,1,0,Me,f4,User,JA,0.640625
5e0e40e0500f0658c9663bc0,59,1135.3,left,1,0,Me,f15,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,60,1152.9,right,1,0,Stranger,m35,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,61,966.9000001,right,1,0,Me,f4,User,JA,0.640625
5e0e40e0500f0658c9663bc0,62,961.9000001,left,1,0,Stranger,f27,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,63,958.6000001,right,0,1,Me,m34,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,64,1024,right,1,0,Me,f27,User,NEIN,0.640625
59ea15472f63d30001c8fef2,1,6762,left,0,1,Stranger,m34,Other,NEIN,0.921875
59ea15472f63d30001c8fef2,2,5414,left,1,0,Stranger,m38,User,JA,0.921875
59ea15472f63d30001c8fef2,3,10084,left,1,0,Stranger,f4,User,NEIN,0.921875
59ea15472f63d30001c8fef2,4,7360,left,1,0,Me,m34,Other,JA,0.921875
59ea15472f63d30001c8fef2,5,12494,right,1,0,Me,m33,User,NEIN,0.921875
59ea15472f63d30001c8fef2,6,4642,left,1,0,Me,f15,Other,NEIN,0.921875
59ea15472f63d30001c8fef2,7,5766,left,1,0,Me,m35,Other,JA,0.921875
59ea15472f63d30001c8fef2,8,6102,right,1,0,Me,f27,User,JA,0.921875
59ea15472f63d30001c8fef2,9,17262,right,1,0,Stranger,m34,Other,JA,0.921875
59ea15472f63d30001c8fef2,10,8258,right,1,0,Me,f4,User,JA,0.921875
59ea15472f63d30001c8fef2,11,9142,right,1,0,Stranger,m35,Other,NEIN,0.921875
59ea15472f63d30001c8fef2,12,7218,right,1,0,Stranger,f18,Other,JA,0.921875
59ea15472f63d30001c8fef2,13,10656,left,1,0,Stranger,m38,User,JA,0.921875
59ea15472f63d30001c8fef2,14,9502,left,1,0,Me,f15,Other,JA,0.921875
