"Subject","P1Age","P2Age","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC"
1,24,21,2,61,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",633.679608,0.633679608,1
1,24,21,2,62,"Person2","Team","Nonmatching",NA,"Team","Group-Self","Self","Top","num_3",1000.238851,1.000238851,1
1,24,21,2,63,"Stranger","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",833.820707,0.833820707,1
1,24,21,2,64,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",600.361711,0.600361711,1
1,24,21,2,65,"Stranger","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Bottom","num_3",700.219466,0.700219466,1
1,24,21,2,66,"Person1","Team","Nonmatching",NA,"Team","Group-Self","Self","Bottom","num_3",1050.245898,1.050245898,1
1,24,21,2,67,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Top","z",666.965131,0.666965131,1
1,24,21,2,68,"Team","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Top","num_3",550.269783,0.550269783,1
1,24,21,2,69,"Team","Team","Matching",NA,"Team","Group-Self","Self","Bottom","num_3",616.92729,0.61692729,0
1,24,21,2,70,"StrangerTeam","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Bottom","num_3",1083.547608,1.083547608,1
1,24,21,2,71,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","z",733.722127,0.733722127,1
1,24,21,2,72,"Person2","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Top","num_3",1350.26015,1.35026015,1
1,24,21,2,73,"Person1","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Top","num_3",1066.905044,1.066905044,1
1,24,21,2,74,"Stranger","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",783.538883,0.783538883,1
1,24,21,2,75,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Bottom","z",467.036036,0.467036036,1
1,24,21,2,76,"Team","Team","Matching",NA,"Team","Group-Self","Self","Top","z",566.941957,0.566941957,1
