"Subject","Age","Gender","Handedness","Label","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Condition","Race","RT_ms","RT_sec","ACC"
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",653.3173199,0.6533173199,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",905.1482261,0.9051482261,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",762.5544711,0.7625544711,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",644.4369119,0.6444369119,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",641.7649961,0.6417649961,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",664.7536859,0.6647536859,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",692.6364989,0.6926364989,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",822.5925842,0.8225925842,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",624.6869941,0.6246869941,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",511.662716,0.511662716,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",632.4689691,0.6324689691,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",594.7265641,0.5947265641,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",750.5408879,0.7505408879,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",844.5521139,0.8445521139,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",742.414359,0.742414359,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",624.5436931,0.6245436931,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",669.8570652,0.6698570652,1
