"","Subject","Age","Gender","Handedness","Shape","Identity","Matching","Response","RT_ms","ACC","RT_sec"
"1889",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,350,1,0.35
"1890",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,328,1,0.328
"1891",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,359,1,0.359
"1892",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,485,1,0.485
"1893",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,390,1,0.39
"1894",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,316,1,0.316
"1895",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,316,1,0.316
"1896",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,616,1,0.616
"1897",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,431,1,0.431
"1898",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,367,1,0.367
"1899",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,274,1,0.274
"1900",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,463,1,0.463
"1901",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,425,1,0.425
"1902",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,570,1,0.57
"1903",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,370,1,0.37
"1904",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,523,1,0.523
"1905",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,351,1,0.351
"1906",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,355,1,0.355
"1907",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,495,1,0.495
"1908",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,423,1,0.423
"1909",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,431,1,0.431
"1910",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,423,1,0.423
"1911",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,353,1,0.353
"1912",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,321,1,0.321
"1913",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,423,1,0.423
"1914",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,374,1,0.374
"1915",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,343,1,0.343
"1916",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",5,709,0,0.709
"1917",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,387,1,0.387
"1918",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,386,1,0.386
"1919",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,462,1,0.462
"1920",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,494,1,0.494
"1921",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,744,1,0.744
"1922",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,565,1,0.565
"1923",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,421,1,0.421
"1924",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,889,1,0.889
"1925",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,600,1,0.6
"1926",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,531,1,0.531
"1927",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,435,1,0.435
"1928",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,585,1,0.585
"1929",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,540,1,0.54
"1930",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,437,1,0.437
"1931",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,543,1,0.543
"1932",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,500,1,0.5
"1933",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",5,322,0,0.322
"1934",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,296,1,0.296
"1935",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,418,1,0.418
"1936",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",1,257,0,0.257
"1937",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",5,1022,0,1.022
"1938",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,588,1,0.588
"1939",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,376,1,0.376
"1940",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,460,1,0.46
"1941",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,249,1,0.249
"1942",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,503,1,0.503
"1943",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,320,1,0.32
"1944",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,404,1,0.404
"1945",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,438,1,0.438
"1946",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,353,1,0.353
"1947",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,342,1,0.342
"1948",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,371,1,0.371
"1949",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,468,1,0.468
"1950",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,396,1,0.396
"1951",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,630,1,0.63
"1952",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",1,553,0,0.553
"1953",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,640,1,0.64
"1954",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,339,1,0.339
"1955",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,650,1,0.65
"1956",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,938,1,0.938
"1957",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,426,1,0.426
"1958",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,305,1,0.305
"1959",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,571,1,0.571
"1960",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,497,1,0.497
"1961",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,444,1,0.444
"1962",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,405,1,0.405
"1963",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,554,1,0.554
"1964",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",5,766,0,0.766
"1965",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,508,1,0.508
"1966",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,418,1,0.418
"1967",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,232,1,0.232
"1968",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,198,1,0.198
"1969",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,535,1,0.535
"1970",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,321,1,0.321
"1971",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,421,1,0.421
"1972",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,278,1,0.278
"1973",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,484,1,0.484
"1974",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,351,1,0.351
"1975",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,387,1,0.387
"1976",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,480,1,0.48
"1977",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,409,1,0.409
"1978",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,385,1,0.385
"1979",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,359,1,0.359
"1980",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",1,482,0,0.482
"1981",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,275,1,0.275
"1982",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,288,1,0.288
"1983",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,464,1,0.464
"1984",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,434,1,0.434
"1985",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,339,1,0.339
"1986",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,413,1,0.413
"1987",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,363,1,0.363
"1988",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,655,1,0.655
"1989",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,495,1,0.495
"1990",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",5,416,0,0.416
"1991",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,524,1,0.524
"1992",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,374,1,0.374
"1993",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,524,1,0.524
"1994",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,296,1,0.296
"1995",24418398,21,"Hombre","Zurdo","cuadrado","amigo","Nonmatching",1,600,1,0.6
"1996",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,501,1,0.501
"1997",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,450,1,0.45
"1998",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",1,639,1,0.639
"1999",24418398,21,"Hombre","Zurdo","triangulo","amigo","Matching",5,380,1,0.38
"2000",24418398,21,"Hombre","Zurdo","circulo","amigo","Nonmatching",5,496,0,0.496
"2001",24418398,21,"Hombre","Zurdo","circulo","extrano","Matching",5,513,1,0.513
"2002",24418398,21,"Hombre","Zurdo","triangulo","extrano","Nonmatching",5,672,0,0.672
"2003",24418398,21,"Hombre","Zurdo","cuadrado","extrano","Nonmatching",1,820,1,0.82
"2004",24418398,21,"Hombre","Zurdo","circulo","extrano","Matching",5,331,1,0.331
"2005",24418398,21,"Hombre","Zurdo","cuadrado","extrano","Nonmatching",1,400,1,0.4
"2006",24418398,21,"Hombre","Zurdo","triangulo","extrano","Nonmatching",5,390,0,0.39
"2007",24418398,21,"Hombre","Zurdo","circulo","extrano","Matching",5,662,1,0.662
"2008",24418398,21,"Hombre","Zurdo","circulo","extrano","Matching",5,548,1,0.548
"2009",24418398,21,"Hombre","Zurdo","triangulo","extrano","Nonmatching",1,573,1,0.573
"2010",24418398,21,"Hombre","Zurdo","circulo","extrano","Matching",1,492,0,0.492
"2011",24418398,21,"Hombre","Zurdo","cuadrado","extrano","Nonmatching",1,443,1,0.443
"2012",24418398,21,"Hombre","Zurdo","circulo","extrano","Matching",5,478,1,0.478
"2013",24418398,21,"Hombre","Zurdo","cuadrado","extrano","Nonmatching",1,403,1,0.403
