Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,P1key,P2key,StrangerKey,WeKey,OtherKey,P1Shape,P2Shape,StrangerShape,StrangerTeamShape,corr,PairNumber,P2Age,P1Age
Other,8,3,43,4,m,1.701786565,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Other,8,4,44,4,m,1.789197307,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Stranger,9,0,45,2,v,2.977304033,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P1,9,1,46,0,c,1.624072775,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Other,9,2,47,4,m,1.762853435,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Other,9,3,48,4,m,2.376375712,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
We,9,4,49,3,b,1.877144575,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P1,0,0,0,0,c,5.257746961,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Stranger,0,1,1,2,b,4.149284572,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
We,0,2,2,3,n,12.10691874,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,0,3,3,4,v,4.753184909,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,0,4,4,4,v,6.894828227,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P1,1,0,5,0,c,2.647149719,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P2,1,1,6,1,m,1.880448613,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P1,1,2,7,0,c,2.232853171,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P1,1,3,8,0,c,1.163066861,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,1,4,9,4,v,2.71180488,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Stranger,2,0,10,2,b,3.975332822,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,2,1,11,4,v,4.036228351,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P2,2,2,12,1,m,1.664378172,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
We,2,3,13,3,n,3.129220308,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
We,2,4,14,3,n,2.216087812,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P1,3,0,15,0,c,2.106972038,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P1,3,1,16,0,c,0.914421896,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
We,3,2,17,3,n,2.696939669,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
We,3,3,18,3,n,1.095448765,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Stranger,3,4,19,2,b,4.167610161,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P2,4,0,20,1,m,1.48447331,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P2,4,1,21,1,m,0.90863144,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,4,2,22,4,v,7.684110415,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Stranger,4,3,23,2,b,2.556541929,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P2,4,4,24,1,m,1.330064695,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,5,0,25,4,v,3.25614133,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,5,1,26,4,v,3.23375883,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Stranger,5,2,27,2,b,2.555976188,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P1,5,3,28,0,c,1.297547811,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
