Subject,Cohens_d_RT,deta_RT,Cohens_d_ACC,deta_ACC,Condition
31,-0.401718124,-51.58333333,-0.204124145,-0.020833333,Self-Acquaintance
32,-0.047415852,-72.64583333,-0.041685148,-0.020833333,Self-Acquaintance
33,-0.364723495,-48.75,0.336666083,0.125,Self-Acquaintance
34,-0.332259391,-78.97916667,0,0,Self-Acquaintance
36,-0.046750663,-15.29166667,-0.170964487,-0.041666667,Self-Acquaintance
1001,0.11721629,17.40178571,NA,0,Self-Friend
1002,0.01999506,5.65625,-0.15668701,-0.044642857,Self-Friend
1003,-0.053152267,-12.61160714,0,0,Self-Friend
1004,0.080446419,22.39285714,0.221570128,0.035714286,Self-Friend
1005,-0.140145782,-24.58482143,0.133931253,0.008928571,Self-Friend
1006,-0.180401346,-42.36607143,-0.13484547,-0.017857143,Self-Friend
1007,-0.209953297,-31.89732143,0.127460882,0.013392857,Self-Friend
1008,-0.189180185,-77.56696429,0.110522225,0.017857143,Self-Friend
1009,-0.02077605,-3.647321429,0,0,Self-Friend
1101,-0.166101018,-49.32653061,-0.101406031,-0.010204082,Self-Friend
1102,-0.158141129,-29.875,-0.060332283,-0.008928571,Self-Friend
1103,0.000714474,0.200892857,-0.116763608,-0.022321429,Self-Friend
1104,-0.158472863,-46.70535714,0.13484547,0.017857143,Self-Friend
1105,-0.171106419,-80.55803571,0.05121799,0.008928571,Self-Friend
1106,0.044093812,6.705357143,-0.094810526,-0.008928571,Self-Friend
1107,-0.18455956,-62.07142857,0.048018905,0.008928571,Self-Friend
1108,-0.257367495,-101.1964286,-0.022104445,-0.004464286,Self-Friend
1109,0.030389158,4.200892857,NA,0,Self-Friend
