"Subject","Age","Gender","Handedness","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
48742438,21,"Mujer","Diestro",5,236,"circulo","tu","Matching","Self","Self","Self","Self",5,408,0.408,1
48742438,21,"Mujer","Diestro",5,237,"triangulo","tu","Nonmatching","Self","Friend","Friend","Close",1,603,0.603,1
48742438,21,"Mujer","Diestro",5,238,"circulo","tu","Matching","Self","Self","Self","Self",5,563,0.563,1
48742438,21,"Mujer","Diestro",5,239,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,405,0.405,1
48742438,21,"Mujer","Diestro",5,240,"circulo","tu","Matching","Self","Self","Self","Self",5,273,0.273,1
48743215,23,"Hombre","Diestro",1,1,"triangulo","tu","Matching","Self","Self","Self","Self",5,446,0.446,1
48743215,23,"Hombre","Diestro",1,2,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,672,0.672,1
48743215,23,"Hombre","Diestro",1,3,"triangulo","tu","Matching","Self","Self","Self","Self",5,560,0.56,1
48743215,23,"Hombre","Diestro",1,4,"triangulo","amigo","Nonmatching","Friend","Self","Self","Self",1,705,0.705,1
48743215,23,"Hombre","Diestro",1,5,"cuadrado","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",1,729,0.729,1
48743215,23,"Hombre","Diestro",1,6,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",5,642,0.642,0
48743215,23,"Hombre","Diestro",1,7,"triangulo","tu","Matching","Self","Self","Self","Self",5,476,0.476,1
48743215,23,"Hombre","Diestro",1,8,"circulo","amigo","Matching","Friend","Friend","Friend","Close",1,851,0.851,0
48743215,23,"Hombre","Diestro",1,9,"circulo","amigo","Matching","Friend","Friend","Friend","Close",5,403,0.403,1
48743215,23,"Hombre","Diestro",1,10,"circulo","amigo","Matching","Friend","Friend","Friend","Close",5,542,0.542,1
48743215,23,"Hombre","Diestro",1,11,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,524,0.524,1
