"","Subject","Shape","Label","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC","Phase"
"336",1,"P2","Stranger","Nonmatching","Partner","1",1000,1,1,2
"337",1,"P2","Stranger","Nonmatching","Partner","1",933,0.933,1,2
"338",1,"P2","Stranger","Nonmatching","Partner","1",1250,1.25,1,2
"339",1,"P2","P1","Nonmatching","Partner","1",783,0.783,1,2
"340",1,"P2","Stranger","Nonmatching","Partner","1",683,0.683,0,2
"341",1,"P2","P1","Nonmatching","Partner","1",1117,1.117,1,2
"342",1,"P2","P1","Nonmatching","Partner","1",900,0.9,1,2
"343",1,"P2","P1","Nonmatching","Partner","1",900,0.9,1,2
"344",1,"P2","Stranger","Nonmatching","Partner","1",784,0.784,1,2
"345",1,"P2","P1","Nonmatching","Partner","1",984,0.984,1,2
"346",1,"P2","Stranger","Nonmatching","Partner","1",1500,1.5,1,2
"347",1,"P2","Stranger","Nonmatching","Partner","1",1217,1.217,1,2
"348",1,"P2","P1","Nonmatching","Partner","1",833,0.833,1,2
"349",1,"P2","Stranger","Nonmatching","Partner","1",884,0.884,1,2
"350",1,"P2","Stranger","Nonmatching","Partner","1",817,0.817,0,2
"351",1,"P2","P1","Nonmatching","Partner","1",784,0.784,1,2
"352",1,"P2","P1","Nonmatching","Partner","1",1000,1,1,2
"353",1,"P2","P1","Nonmatching","Partner","2",567,0.567,0,1
"354",1,"P2","P1","Nonmatching","Partner","2",700,0.7,1,1
"355",1,"P2","Stranger","Nonmatching","Partner","2",1417,1.417,1,1
"356",1,"P2","P1","Nonmatching","Partner","2",867,0.867,1,1
"357",1,"P2","P1","Nonmatching","Partner","2",733,0.733,1,1
"358",1,"P2","P1","Nonmatching","Partner","2",1367,1.367,1,1
"359",1,"P2","Stranger","Nonmatching","Partner","2",1017,1.017,1,1
"360",1,"P2","Stranger","Nonmatching","Partner","2",767,0.767,1,1
"361",1,"P2","Stranger","Nonmatching","Partner","2",1333,1.333,1,1
"362",1,"P2","Stranger","Nonmatching","Partner","2",1217,1.217,1,1
"363",1,"P2","P1","Nonmatching","Partner","2",1083,1.083,1,1
"364",1,"P2","Stranger","Nonmatching","Partner","2",900,0.9,1,1
"365",1,"P2","Stranger","Nonmatching","Partner","2",917,0.917,1,1
"366",1,"P2","Stranger","Nonmatching","Partner","2",800,0.8,1,1
"367",1,"P2","P1","Nonmatching","Partner","2",900,0.9,1,1
"368",1,"P2","P1","Nonmatching","Partner","2",1183,1.183,1,1
"369",1,"P2","Stranger","Nonmatching","Partner","2",850,0.85,1,1
"370",1,"P2","Stranger","Nonmatching","Partner","2",950,0.95,1,1
"371",1,"P2","P1","Nonmatching","Partner","2",933,0.933,1,1
"372",1,"P2","P1","Nonmatching","Partner","2",1200,1.2,1,1
"373",1,"P2","P1","Nonmatching","Partner","2",767,0.767,1,2
"374",1,"P2","Stranger","Nonmatching","Partner","2",933,0.933,1,2
"375",1,"P2","P1","Nonmatching","Partner","2",733,0.733,1,2
"376",1,"P2","Stranger","Nonmatching","Partner","2",717,0.717,1,2
"377",1,"P2","Stranger","Nonmatching","Partner","2",767,0.767,1,2
"378",1,"P2","P1","Nonmatching","Partner","2",767,0.767,1,2
"379",1,"P2","P1","Nonmatching","Partner","2",733,0.733,1,2
"380",1,"P2","Stranger","Nonmatching","Partner","2",833,0.833,1,2
"381",1,"P2","Stranger","Nonmatching","Partner","2",1184,1.184,1,2
"382",1,"P2","P1","Nonmatching","Partner","2",1450,1.45,1,2
"383",1,"P2","P1","Nonmatching","Partner","2",1283,1.283,1,2
"384",1,"P2","Stranger","Nonmatching","Partner","2",800,0.8,1,2
"385",1,"P2","Stranger","Nonmatching","Partner","2",850,0.85,1,2
"386",1,"P2","Stranger","Nonmatching","Partner","2",701,0.701,1,2
"387",1,"P2","Stranger","Nonmatching","Partner","2",950,0.95,1,2
"388",1,"P2","P1","Nonmatching","Partner","2",817,0.817,1,2
"389",1,"P2","P1","Nonmatching","Partner","2",817,0.817,1,2
"390",1,"P2","P1","Nonmatching","Partner","2",1267,1.267,1,2
"391",1,"P2","P1","Nonmatching","Partner","2",934,0.934,1,2
"392",1,"P2","Stranger","Nonmatching","Partner","2",717,0.717,1,2
"393",1,"Stranger","P2","Nonmatching","Stranger","1",717,0.717,1,1
"394",1,"Stranger","P1","Nonmatching","Stranger","1",883,0.883,1,1
"395",1,"Stranger","P1","Nonmatching","Stranger","1",817,0.817,1,1
"396",1,"Stranger","P2","Nonmatching","Stranger","1",867,0.867,1,1
"397",1,"Stranger","P1","Nonmatching","Stranger","1",700,0.7,1,1
"398",1,"Stranger","P2","Nonmatching","Stranger","1",783,0.783,1,1
