"","Subject","Gender","Age","Handedness","First_Lanugage","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"125",9605,"female",25,"right","Hebrew",2,125,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",2647,2.647,1
"126",9605,"female",25,"right","Hebrew",2,126,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1529,1.529,1
"127",9605,"female",25,"right","Hebrew",2,127,"square.bmp","Father","Matching","Father","Father","Father","Close","z",967,0.967,1
"128",9605,"female",25,"right","Hebrew",2,128,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1412,1.412,1
"129",9605,"female",25,"right","Hebrew",2,129,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",1079,1.079,1
"130",9605,"female",25,"right","Hebrew",2,130,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",1319,1.319,1
"131",9605,"female",25,"right","Hebrew",2,131,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",1206,1.206,1
"132",9605,"female",25,"right","Hebrew",2,132,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",1417,1.417,1
"133",9605,"female",25,"right","Hebrew",2,133,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1508,1.508,1
"134",9605,"female",25,"right","Hebrew",2,134,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",1315,1.315,1
"135",9605,"female",25,"right","Hebrew",2,135,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",1066,1.066,1
"136",9605,"female",25,"right","Hebrew",2,136,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",1442,1.442,1
"137",9605,"female",25,"right","Hebrew",2,137,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",1188,1.188,1
"138",9605,"female",25,"right","Hebrew",2,138,"square.bmp","Father","Matching","Father","Father","Father","Close","z",968,0.968,1
"139",9605,"female",25,"right","Hebrew",2,139,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",1780,1.78,1
"140",9605,"female",25,"right","Hebrew",2,140,"square.bmp","Father","Matching","Father","Father","Father","Close","z",3176,3.176,1
"141",9605,"female",25,"right","Hebrew",2,141,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",1652,1.652,1
"142",9605,"female",25,"right","Hebrew",2,142,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1030,1.03,1
"143",9605,"female",25,"right","Hebrew",2,143,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",2072,2.072,1
"144",9605,"female",25,"right","Hebrew",2,144,"square.bmp","Father","Matching","Father","Father","Father","Close","z",857,0.857,1
"145",9605,"female",25,"right","Hebrew",2,145,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1634,1.634,1
"146",9605,"female",25,"right","Hebrew",2,146,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",1515,1.515,1
"147",9605,"female",25,"right","Hebrew",2,147,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",882,0.882,1
"148",9605,"female",25,"right","Hebrew",2,148,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1058,1.058,1
"149",9605,"female",25,"right","Hebrew",2,149,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1091,1.091,1
"150",9605,"female",25,"right","Hebrew",2,150,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",2403,2.403,1
"151",9605,"female",25,"right","Hebrew",2,151,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1814,1.814,1
"152",9605,"female",25,"right","Hebrew",2,152,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",2929,2.929,1
"153",9605,"female",25,"right","Hebrew",2,153,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1511,1.511,1
"154",9605,"female",25,"right","Hebrew",2,154,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",1878,1.878,1
"155",9605,"female",25,"right","Hebrew",2,155,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1062,1.062,1
"156",9605,"female",25,"right","Hebrew",2,156,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",959,0.959,1
"157",9605,"female",25,"right","Hebrew",2,157,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",1940,1.94,1
"158",9605,"female",25,"right","Hebrew",2,158,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",1161,1.161,1
"159",9605,"female",25,"right","Hebrew",2,159,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1686,1.686,1
"160",9605,"female",25,"right","Hebrew",2,160,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",838,0.838,1
"161",9605,"female",25,"right","Hebrew",2,161,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1016,1.016,1
"162",9605,"female",25,"right","Hebrew",2,162,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1043,1.043,1
"163",9605,"female",25,"right","Hebrew",2,163,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1285,1.285,1
"164",9605,"female",25,"right","Hebrew",2,164,"square.bmp","Father","Matching","Father","Father","Father","Close","z",2053,2.053,1
"165",9605,"female",25,"right","Hebrew",2,165,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",998,0.998,1
"166",9605,"female",25,"right","Hebrew",2,166,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1698,1.698,1
"167",9605,"female",25,"right","Hebrew",2,167,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",1977,1.977,1
"168",9605,"female",25,"right","Hebrew",2,168,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",1526,1.526,1
"169",9605,"female",25,"right","Hebrew",2,169,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1348,1.348,1
"170",9605,"female",25,"right","Hebrew",2,170,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1098,1.098,1
"171",9605,"female",25,"right","Hebrew",2,171,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",2073,2.073,1
"172",9605,"female",25,"right","Hebrew",2,172,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1690,1.69,1
"173",9605,"female",25,"right","Hebrew",2,173,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1442,1.442,1
"174",9605,"female",25,"right","Hebrew",2,174,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",899,0.899,1
"175",9605,"female",25,"right","Hebrew",2,175,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1043,1.043,1
"176",9605,"female",25,"right","Hebrew",2,176,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",901,0.901,1
