"","Subject","Age","Gender","Handedness","Shape","Label","Origin_Identity","English_Identity","Standardized_Idnetity","Matching","Response","RT_ms","RT_sec","ACC"
"250",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",498,0.498,1
"251",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",710,0.71,1
"252",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",709,0.709,1
"253",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",526,0.526,1
"254",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",633,0.633,1
"255",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",770,0.77,1
"256",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1399,1.399,1
"257",1,26,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",767,0.767,1
"258",1,26,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",471,0.471,1
"259",1,26,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",826,0.826,1
"260",1,26,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","k",886,0.886,0
"261",1,26,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",866,0.866,1
"262",1,26,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",590,0.59,1
"263",1,26,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",612,0.612,1
"264",1,26,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",734,0.734,1
"265",1,26,"female","right","Kreis.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1085,1.085,1
"266",1,26,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",756,0.756,1
"267",1,26,"female","right","Dreieck.png","Ich","Ich","Self","Self","Matching","d",1927,1.927,1
