"","Subject","Block","Trial","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"175",2,3,55,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",1011,1.011,1
"176",2,3,56,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",685,0.685,1
"177",2,3,57,"S.bmp","Vreemde","Nonmatching","Self","Self","Self","n",791,0.791,1
"178",2,3,58,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",738,0.738,1
"179",2,3,59,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",763,0.763,1
"180",2,3,60,"S.bmp","Bekende","Nonmatching","Self","Self","Self","n",725,0.725,1
"181",2,4,1,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",1180,1.18,1
"182",2,4,2,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",614,0.614,1
"183",2,4,3,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","n",623,0.623,1
"184",2,4,4,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",793,0.793,1
"185",2,4,5,"S.bmp","Vreemde","Nonmatching","Self","Self","Self","n",899,0.899,1
"186",2,4,6,"S.bmp","Bekende","Nonmatching","Self","Self","Self","m",1261,1.261,0
"187",2,4,7,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",872,0.872,1
"188",2,4,8,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",626,0.626,1
"189",2,4,9,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","n",636,0.636,0
"190",2,4,10,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",822,0.822,1
"191",2,4,11,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","n",864,0.864,1
"192",2,4,12,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",794,0.794,1
"193",2,4,13,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",788,0.788,1
"194",2,4,14,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",942,0.942,1
